name,type,date,location,distance,distance_meters,time,time_seconds,pace,splits,notes
Unknown CC 5k,cross country,10/3/91,,5k,,18:39,,,,"2nd place, PR!"
Unknown CC 5k,cross country,10/10/91,,5k,,18:03,,,,"3rd place, PR!"
Unknown CC 5k,cross country,10/17/91,,5k,,17:49,,,,PR!
Unknown CC 5k,cross country,10/24/91,,5k,,18:36,,,,"2nd place, PR!"
Conference CC Meet,cross country,10/30/91,"MacAnderson Park, Statesville, NC, USA",5k,,17:37,,,,"3rd place, PR! Close to sharpe, Alan Tsumas won"
Regional CC Meet,cross country,11/7/91,"McAlpine Greenway Park, Charlotte, NC, USA",5k,,17:53,,,,"21st place, qualified for state!"
State CC Meet,cross country,11/16/91,"McAlpine Greenway Park, Charlotte, NC, USA",5k,,18:15,,,,"53rd place, it was hot and I was sick (supposedly ;-)) "
Mistletoe Half Marathon,road,12/7/91,"Winston Salem, NC, USA",Half-Marathon,,1:22:00,,6:15,,"1st road race, had to work after and calves were so cramped and painful!"
UNC Chapel Hill Indoor 2 mile,indoor track,12/20/91,"Charlotte, NC, USA",3200 meters,,10:26,,5:13,,qualified for state!
Unknown 10K,road,1/4/92,"Charlotte, NC, USA",10k,,0:36:44,,,,
UNC Chapel Hill Indoor 2 mile,indoor track,1/17/92,"Charlotte, NC, USA",1600 meters,,10:42,,5:21,,overtraining
State Indoors Meet,indoor track,2/1/92,,3200 meters,,10:58,,5:29,,injured and in deep pain
Resolution run? @ Davie County YMCA,road,1/2/93,"Mocksville, NC, USA",10k,,0:34:52,,,,PR! 3rd place overall
Charlotte Observer Marathon,road,1/9/93,"Charlotte, NC, USA",Marathon,,2:57:47,,,,"1:21:12 for first half!!! First 2 miles in 12:00! Windy, cold, rainy. Hardest run of my life. At 20 miles I felt dead. I had to walk a couple times. Last half went to hell."
Salisbury Winter Flight,road,2/7/93,"NC, USA",8k,,0:27:40,,,"5:22, 5:45, 5:54, 5:31, 5:07",PR! Ran the fun run mile before in 5:55. Dumb!
Track Meet w/ Kannapolis,track,3/10/93,"NC, USA",1600 meters,,4:55,,,,
Track Meet w/ Kannapolis,track,3/10/93,"NC, USA",3200 meters,,11:17,,,,
Mocksville Shamrock 5k,road,3/20/93,"Mocksville, NC, USA",5k,,17:15,,,,"hilly, won overall!"
Track vs. South vs. North Surry,track,4/1/93,,800 meters,,2:19,,,,Sick. This is the 3200 meter relay
Track vs. South vs. North Surry,track,4/1/93,,1600 meters,,5:03,,,,Sick.
Track vs. South vs. North Surry,track,4/1/93,,3200 meters,,10:43,,,"1:20, 1:21, 1:20, 1:21, 1:21, 1:21, 1:19, 1:16",Sick.
Bunker Hill Track Meet,track,4/6/93,,800 meters,,2:10,,,,"PR, 2nd place, 3200 meter relay, sick."
Bunker Hill Track Meet,track,4/6/93,,1600 meters,,4:53,,,,"6th, sick."
Bunker Hill Track Meet,track,4/6/93,,3200 meters,,10:25,,,,"1st, sick."
Track vs. West and South,track,4/8/93,,800 meters,,2:18,,,,1st
Track vs. West and South,track,4/8/93,,1600 meters,,5:00,,,,2nd
Track vs. West and South,track,4/8/93,,3200 meters,,10:42,,,,1st
Track vs. Salisbury,track,4/20/93,,800 meters,,2:15,,,,relay in 9:03
Track vs. Salisbury,track,4/20/93,,1600 meters,,4:57,,,,
Track vs. Salisbury,track,4/20/93,,3200 meters,,10:25,,,,
County Meet,track,4/27/93,,800 meters,,2:14,,,,"1st, 8:50 in relay, qualified for regionals, Team PR!"
County Meet,track,4/27/93,,1600 meters,,4:47,,,,"2nd, PR!"
County Meet,track,4/27/93,,3200 meters,,10:29,,,,1st
Track vs. South Wilkes,track,4/29/93,,800 meters,,2:14,,,,
Track vs. South Wilkes,track,4/29/93,,800 meters,,2:20,,,,
Track vs. South Wilkes,track,4/29/93,,1600 meters,,5:04,,,,2nd
Track vs. South Wilkes,track,4/29/93,,3200 meters,,10:43,,,,1st
Weekend in the village 5k,road,5/1/93,,5k,,16:31,,,,"1st, PR!"
Conference Champs,track,5/5/93,,800 meters,,2:15,,,,1st
Conference Champs,track,5/5/93,,1600 meters,,4:50,,,,2nd by .02
Conference Champs,track,5/5/93,,3200 meters,,10:36,,,,1st
Summer Breeze 5k,road,6/26/93,"Charlotte, NC, USA",5k,,17:04,,,,"47th overall, 4th in age group"
Matthews 4th of July 5k,road,7/3/93,"Matthews, NC, USA",5k,,17:22,,,,
Rice Invitational,cross country,9/25/93,"Houston, TX",4 miles,6437.36,24:09,,,,45th overall
Katy 3 mile,cross country,10/9/93,"Houston, TX",3 miles,,15:58,,,,16:30 5k pace
Crackdown 10k,road,10/16/93,"Houston, TX",10k,,0:34:57,,,,
10 for Texas,road,10/23/93,"Woodlands, TX",10 miles,,0:57:47,,,,stopped twice to tie shoe
Mile time trial,track,11/10/93,"Houston, TX",1 mile,,4:44,,,"1:06, 1:10, 1:13, 1:14",
